repo_name,component_size,component_frequency,edge_count,max_possible,subgraph_density
tsayen-dom-to-image,2,29,32,58,0.551724138
tsayen-dom-to-image,3,9,21,54,0.388888889
tsayen-dom-to-image,4,1,4,12,0.333333333
tsayen-dom-to-image,5,1,4,20,0.2
tsayen-dom-to-image,7,1,6,42,0.142857143
tsayen-dom-to-image,9,1,10,72,0.138888889
tsayen-dom-to-image,17,1,21,272,0.077205882
TypeStrong-ts-node,1,766,0,0,0
TypeStrong-ts-node,2,99,113,198,0.570707071
TypeStrong-ts-node,3,32,72,192,0.375
TypeStrong-ts-node,4,12,43,144,0.298611111
TypeStrong-ts-node,485,1,762,234740,0.003246145
TypeStrong-ts-node,6,5,31,150,0.206666667
TypeStrong-ts-node,7,2,31,84,0.369047619
TypeStrong-ts-node,8,1,9,56,0.160714286
TypeStrong-ts-node,9,3,35,216,0.162037037
TypeStrong-ts-node,5,1,5,20,0.25
TypeStrong-ts-node,21,1,23,420,0.054761905
varvet-pundit,65,1,87,4160,0.020913462
varvet-pundit,2,40,47,80,0.5875
varvet-pundit,3,10,23,60,0.383333333
varvet-pundit,4,6,21,72,0.291666667
varvet-pundit,5,5,26,100,0.26
varvet-pundit,6,1,11,30,0.366666667
varvet-pundit,7,2,24,84,0.285714286
varvet-pundit,8,1,18,56,0.321428571
varvet-pundit,1,420,0,0,0
varvet-pundit,11,1,14,110,0.127272727
varvet-pundit,51,1,76,2550,0.029803922
volatilityfoundation-volatility,1,655,0,0,0
volatilityfoundation-volatility,2,39,39,78,0.5
volatilityfoundation-volatility,35,1,44,1190,0.03697479
volatilityfoundation-volatility,4,1,4,12,0.333333333
volatilityfoundation-volatility,3,7,16,42,0.380952381
volatilityfoundation-volatility,6,1,5,30,0.166666667
volatilityfoundation-volatility,7,1,7,42,0.166666667
volatilityfoundation-volatility,9,2,16,144,0.111111111
zaach-jison,1,291,0,0,0
zaach-jison,2,16,18,32,0.5625
zaach-jison,3,4,8,24,0.333333333
zaach-jison,4,1,3,12,0.25
zaach-jison,6,1,5,30,0.166666667
zaach-jison,56,1,59,3080,0.019155844
